recipe_id,ingredient_id,Quantity,measurement_unit,Notes,is_optional,step_number
1,8,1.75,cups,,0,2
1,12,0.33,cups,chopped,0,2
1,10,2,tbsp,,0,2
1,13,1,tsp,,1,2
1,14,0.25,tsp,,0,2
1,11,2,tbsp,,0,3
1,5,0.25,cups,,0,3
1,6,0.25,cups,,0,3
1,15,1,tsp,,0,3
2,16,8,oz,Butterfly’d,0,1
2,17,2,tsp,1/5 tsp per side,1,3
2,18,2,tsp,1/5 tsp per side,1,3
2,19,0.5,tbsp,,0,4
2,9,2,tbsp,,1,4
2,14,2,tsp,1/5 tsp per side,0,3
2,20,2,tsp,1/5 tsp per side,0,3
3,21,0.25,cups,,0,2
3,3,6,oz,,0,1
3,5,1,tbsp,,0,1
3,4,12,oz,,0,2
3,7,0.25,tbsp,,1,2
